service_id,date,exception_type
10.5@5,20160325,1
10.5@1,20160325,2
171@5,20160325,1
171@1,20160325,2
T52@5,20160325,1
T52@1,20160325,2
2441@5,20160325,1
2441@1,20160325,2
2571@5,20160325,1
2571@1,20160325,2
2602@5,20160325,1
2602@1,20160325,2
A19@5,20160325,1
A19@1,20160325,2
165@5,20160325,1
165@1,20160325,2
M10@5,20160325,1
M10@1,20160325,2
255@5,20160325,1
255@1,20160325,2
184@5,20160325,1
184@1,20160325,2
272@5,20160325,1
272@1,20160325,2
T12A@5,20160325,1
T12A@1,20160325,2
149@5,20160325,1
149@1,20160325,2
2843@5,20160325,1
2843@1,20160325,2
176@5,20160325,1
176@1,20160325,2
286@5,20160325,1
286@1,20160325,2
2672@5,20160325,1
2672@1,20160325,2
282@5,20160325,1
282@1,20160325,2
264@5,20160325,1
264@1,20160325,2
270@5,20160325,1
270@1,20160325,2
266@5,20160325,1
266@1,20160325,2
271@5,20160325,1
271@1,20160325,2
288@5,20160325,1
288@1,20160325,2
20.2@5,20160325,1
20.2@1,20160325,2
186@5,20160325,1
186@1,20160325,2
285@5,20160325,1
285@1,20160325,2
A10@5,20160325,1
A10@1,20160325,2
251@5,20160325,1
251@1,20160325,2
F03@5,20160325,1
F03@1,20160325,2
2632@5,20160325,1
2632@1,20160325,2
M68@5,20160325,1
M68@1,20160325,2
254@5,20160325,1
254@1,20160325,2
A991@5,20160325,1
A991@1,20160325,2
289@5,20160325,1
289@1,20160325,2
30.1@5,20160325,1
30.1@1,20160325,2
30.2@5,20160325,1
30.2@1,20160325,2
343@5,20160325,1
343@1,20160325,2
345@5,20160325,1
345@1,20160325,2
346@5,20160325,1
346@1,20160325,2
4292@5,20160325,1
4292@1,20160325,2
2631@5,20160325,1
2631@1,20160325,2
A11@5,20160325,1
A11@1,20160325,2
210@5,20160325,1
210@1,20160325,2
470@5,20160325,1
470@1,20160325,2
2601@5,20160325,1
2601@1,20160325,2
A17@5,20160325,1
A17@1,20160325,2
268@5,20160325,1
268@1,20160325,2
A13@5,20160325,1
A13@1,20160325,2
A74@5,20160325,1
A74@1,20160325,2
473@5,20160325,1
473@1,20160325,2
274@5,20160325,1
274@1,20160325,2
2671@5,20160325,1
2671@1,20160325,2
431@5,20160325,1
431@1,20160325,2
6612@5,20160325,1
6612@1,20160325,2
662@5,20160325,1
662@1,20160325,2
665@5,20160325,1
665@1,20160325,2
621@5,20160325,1
621@1,20160325,2
3442@5,20160325,1
3442@1,20160325,2
347@5,20160325,1
347@1,20160325,2
439@5,20160325,1
439@1,20160325,2
361@5,20160325,1
361@1,20160325,2
398@5,20160325,1
398@1,20160325,2
T8@5,20160325,1
T8@1,20160325,2
C2@5,20160325,1
C2@1,20160325,2
M76@5,20160325,1
M76@1,20160325,2
60.4@5,20160325,1
60.4@1,20160325,2
611@5,20160325,1
611@1,20160325,2
M98@5,20160325,1
M98@1,20160325,2
614@5,20160325,1
614@1,20160325,2
M31@5,20160325,1
M31@1,20160325,2
211@5,20160325,1
211@1,20160325,2
652@5,20160325,1
652@1,20160325,2
60.6@5,20160325,1
60.6@1,20160325,2
633@5,20160325,1
633@1,20160325,2
60.21@5,20160325,1
60.21@1,20160325,2
429@5,20160325,1
429@1,20160325,2
476@5,20160325,1
476@1,20160325,2
257@5,20160325,1
257@1,20160325,2
637@5,20160325,1
637@1,20160325,2
613@5,20160325,1
613@1,20160325,2
491@5,20160325,1
491@1,20160325,2
703@5,20160325,1
703@1,20160325,2
353@5,20160325,1
353@1,20160325,2
397@5,20160325,1
397@1,20160325,2
T7@5,20160325,1
T7@1,20160325,2
A87@5,20160325,1
A87@1,20160325,2
B55@5,20160325,1
B55@1,20160325,2
2685@5,20160325,1
2685@1,20160325,2
40.41@5,20160325,1
40.41@1,20160325,2
661@5,20160325,1
661@1,20160325,2
715@5,20160325,1
715@1,20160325,2
3984@5,20160325,1
3984@1,20160325,2
608@5,20160325,1
608@1,20160325,2
718@5,20160325,1
718@1,20160325,2
520@5,20160325,1
520@1,20160325,2
A97@5,20160325,1
A97@1,20160325,2
2741@5,20160325,1
2741@1,20160325,2
03.1@5,20160325,1
03.1@1,20160325,2
627@5,20160325,1
627@1,20160325,2
